category,size_mb,installs,price,content_rating,reviews,update_days,num_screenshots,has_ads,is_free,rating
Sports,159.44,1000,0.0,Teen,7856,701,3,1,1,3.7
Auto & Vehicles,1.75,100,4.99,Adults only 18+,7904,555,3,1,0,3.9
Comics,126.64,5000000,1.99,Adults only 18+,10942,4,3,0,0,4.4
Education,119.71,50000,0.0,Everyone 10+,18643,261,2,1,1,4.6
Game,64.31,50000000,1.99,Everyone 10+,2072,570,5,0,0,4.1
Productivity,90.83,5000000,0.0,Teen,2280,549,1,1,1,4.1
Food & Drink,50.15,500,4.99,Everyone 10+,1553,410,7,0,0,4.0
Education,158.19,500000,0.0,Teen,33143,265,3,1,1,5.0
Food & Drink,127.27,10000000,0.0,Adults only 18+,10333,15,1,1,1,4.1
Video Players,107.01,50000000,9.99,Mature 17+,1167,88,3,0,0,4.9
Events,79.11,500,1.99,Adults only 18+,2991,99,2,1,0,3.9
Books & Reference,58.99,5000,0.0,Everyone,15518,617,6,0,1,4.5
Books & Reference,164.72,1000,0.99,Adults only 18+,353,217,2,1,0,3.8
Medical,90.83,1000000,0.0,Everyone,15520,410,8,0,1,4.4
Comics,100.79,500,2.99,Everyone 10+,29092,191,4,0,0,4.1
Maps & Navigation,104.64,1000,0.0,Adults only 18+,696,215,1,1,1,4.2
Food & Drink,90.23,100000,0.0,Mature 17+,2476,710,8,1,1,3.8
Personalization,51.96,5000,0.0,Adults only 18+,29,617,7,0,1,3.2
Medical,24.95,50000,4.99,Adults only 18+,1385,27,6,1,0,3.9
Events,20.61,1000,0.0,Adults only 18+,11516,182,6,0,1,4.4
Art & Design,151.74,100,0.0,Teen,550,595,4,0,1,3.6
Photography,45.48,10000000,4.99,Adults only 18+,6658,159,6,0,0,4.5
Communication,12.08,50000,0.0,Adults only 18+,8400,230,2,0,1,4.5
Productivity,159.71,5000,0.0,Mature 17+,28454,235,6,1,1,4.4
News & Magazines,31.66,500,0.0,Everyone,7716,386,7,1,1,4.2
House & Home,125.4,100000,0.0,Everyone,1845,530,8,1,1,4.6
Art & Design,68.39,5000000,2.99,Mature 17+,4098,284,2,1,0,4.5
Finance,26.17,50000000,0.0,Everyone 10+,13384,71,6,0,1,4.5
Communication,83.48,10000,0.99,Adults only 18+,1427,504,6,0,0,4.2
House & Home,3.95,50000,0.0,Everyone 10+,3164,215,1,0,1,4.4
News & Magazines,168.37,50000,0.0,Mature 17+,65607,117,7,1,1,4.1
Medical,103.19,1000000,0.0,Everyone 10+,67,100,4,0,1,4.2
Tools,28.69,50000000,0.99,Everyone,1981,600,6,0,0,3.9
Productivity,48.16,500,0.0,Teen,22271,665,7,0,1,4.1
Game,90.15,50000000,1.99,Everyone 10+,1283,295,6,1,0,4.2
Weather,38.59,50000,0.0,Teen,411,177,4,1,1,4.4
Shopping,54.45,1000000,1.99,Everyone 10+,1552,132,4,1,0,4.7
Events,107.34,50000000,0.0,Mature 17+,14194,634,1,1,1,4.4
Dating,166.69,5000,0.0,Teen,59733,723,1,0,1,4.0
Health & Fitness,80.97,50000000,2.99,Everyone 10+,10718,580,1,1,0,4.8
Entertainment,143.68,10000000,0.0,Mature 17+,1593,57,5,0,1,4.9
Auto & Vehicles,175.46,50000,0.0,Everyone,2437,13,6,1,1,4.1
Education,44.04,100000,0.99,Adults only 18+,9258,193,7,0,0,4.6
Beauty,161.63,100,0.0,Mature 17+,15091,575,2,0,1,4.2
News & Magazines,151.72,10000,0.99,Mature 17+,13049,510,5,1,0,3.6
Shopping,72.03,5000,1.99,Everyone,10260,153,5,1,0,4.2
Dating,197.91,5000000,0.0,Teen,51458,23,2,0,1,4.5
Auto & Vehicles,53.25,500,0.0,Everyone 10+,2648,30,6,0,1,4.5
Comics,51.71,500,0.0,Teen,2278,369,3,0,1,4.3
Sports,154.68,500,0.99,Mature 17+,23513,701,3,1,0,3.7
Tools,87.5,100000,0.0,Everyone 10+,4124,391,8,1,1,4.3
Shopping,66.83,10000000,0.0,Adults only 18+,4851,310,3,1,1,4.2
Productivity,36.55,10000000,0.0,Adults only 18+,9547,621,7,1,1,4.6
Finance,153.3,5000,0.99,Everyone 10+,5761,401,1,0,0,4.1
Business,157.48,50000,0.0,Mature 17+,4070,353,1,1,1,4.3
House & Home,113.75,100000,0.99,Everyone,29892,572,8,1,0,3.7
House & Home,191.51,1000000,4.99,Teen,1661,66,4,1,0,3.8
Personalization,64.31,10000000,0.0,Teen,6216,166,7,0,1,4.7
Comics,44.7,500,1.99,Everyone,36,492,7,1,0,3.3
News & Magazines,135.82,5000000,0.0,Everyone,19769,653,4,1,1,4.5
Personalization,151.92,50000000,2.99,Adults only 18+,2213,564,8,0,0,4.6
Libraries & Demo,45.76,1000000,9.99,Everyone,17793,180,5,0,0,4.6
House & Home,16.25,10000000,0.0,Everyone 10+,1931,544,4,1,1,4.1
Productivity,162.29,10000,0.0,Adults only 18+,6469,726,1,1,1,3.8
Events,195.32,50000,0.0,Mature 17+,15632,17,5,1,1,4.6
House & Home,129.29,50000,1.99,Adults only 18+,3790,126,4,1,0,4.3
Books & Reference,56.3,10000000,9.99,Adults only 18+,4521,82,4,1,0,4.1
News & Magazines,199.34,1000,0.0,Teen,13207,40,7,1,1,4.4
Food & Drink,178.76,10000000,9.99,Everyone,2495,616,3,0,0,4.5
Parenting,103.16,10000000,0.0,Everyone 10+,36385,219,1,1,1,4.5
Medical,165.24,5000000,9.99,Everyone,2511,182,5,0,0,4.4
Health & Fitness,163.35,100000,0.0,Teen,16635,438,8,0,1,4.5
Books & Reference,187.02,100000,0.0,Everyone,19470,668,2,1,1,3.9
Social,168.34,500000,0.0,Everyone 10+,5628,690,6,0,1,3.9
Tools,129.09,10000,0.0,Everyone,2039,530,4,0,1,3.8
Sports,122.25,500,0.99,Teen,2177,653,1,0,0,3.8
Dating,94.0,1000,4.99,Everyone 10+,50762,161,5,0,0,3.7
Libraries & Demo,125.67,1000000,4.99,Everyone,15510,726,6,0,0,4.4
Travel & Local,159.25,50000,1.99,Teen,7175,557,7,1,0,3.9
Maps & Navigation,193.84,500000,0.0,Teen,3570,187,1,1,1,4.5
Auto & Vehicles,93.99,500000,4.99,Adults only 18+,229,354,8,0,0,3.9
Food & Drink,115.16,10000,0.0,Everyone 10+,13321,375,1,0,1,4.2
Books & Reference,89.52,100,2.99,Everyone 10+,37735,467,5,1,0,4.0
Shopping,134.03,50000,0.0,Everyone,1356,241,3,1,1,3.8
Productivity,126.35,100000,0.0,Adults only 18+,16853,334,6,1,1,4.4
Travel & Local,4.55,1000000,0.99,Everyone 10+,1996,48,3,1,0,3.9
Events,108.69,500,1.99,Teen,18849,111,8,0,0,4.5
Communication,18.61,50000000,4.99,Everyone 10+,5555,595,4,0,0,4.7
Video Players,6.25,500,0.0,Adults only 18+,14940,104,3,1,1,4.4
Entertainment,158.45,5000000,0.99,Mature 17+,31290,463,4,0,0,4.2
Food & Drink,52.47,100,2.99,Teen,11615,74,4,0,0,4.5
Video Players,68.79,10000,4.99,Everyone 10+,30414,567,5,1,0,4.7
Communication,13.75,500,2.99,Teen,3215,317,8,1,0,4.1
Music & Audio,36.72,1000,0.0,Everyone,45874,2,1,0,1,4.3
Books & Reference,153.36,500,4.99,Teen,24748,372,8,1,0,4.1
Communication,99.21,10000000,0.0,Everyone 10+,1366,469,2,0,1,3.9
Art & Design,176.25,5000,1.99,Everyone,6404,10,7,1,0,4.5
Food & Drink,80.05,10000000,9.99,Everyone,31412,588,2,0,0,4.4
Parenting,54.47,1000,0.99,Everyone,976,423,3,1,0,3.7
News & Magazines,70.17,1000000,1.99,Mature 17+,7256,258,5,0,0,4.5
Parenting,142.84,5000000,0.0,Mature 17+,15431,633,2,1,1,4.0
Sports,111.45,50000000,0.0,Everyone,408,727,7,1,1,4.0
Education,180.93,500,0.0,Everyone 10+,16772,476,1,0,1,4.3
Shopping,120.83,100000,9.99,Everyone,5378,245,4,1,0,4.6
Education,99.11,10000000,0.0,Everyone,3442,337,4,0,1,4.3
House & Home,157.36,1000,0.0,Teen,10295,692,5,1,1,4.1
Entertainment,189.56,5000000,4.99,Teen,9432,488,3,0,0,4.0
Photography,71.81,500000,0.0,Teen,24852,73,1,1,1,4.8
Dating,50.73,5000,0.0,Adults only 18+,13524,721,7,1,1,3.7
Photography,123.63,5000,0.0,Teen,6575,685,3,0,1,3.8
Libraries & Demo,100.28,1000000,4.99,Teen,12603,5,7,0,0,4.7
Shopping,197.85,10000000,0.0,Everyone 10+,16643,462,8,0,1,4.5
Social,93.01,1000,0.0,Mature 17+,33238,366,3,1,1,4.2
Books & Reference,15.79,100000,0.0,Mature 17+,14619,495,5,0,1,4.7
Photography,195.5,100,2.99,Mature 17+,9420,217,4,1,0,4.0
Medical,168.87,100000,0.0,Adults only 18+,5601,214,3,0,1,4.8
Entertainment,36.47,5000000,0.0,Everyone,26650,325,8,0,1,4.1
Productivity,181.02,10000000,0.0,Teen,18873,310,8,1,1,4.5
Maps & Navigation,68.79,500,9.99,Everyone 10+,964,38,7,1,0,4.0
Medical,76.05,50000000,0.0,Adults only 18+,14429,61,3,0,1,5.0
Entertainment,181.37,50000,2.99,Mature 17+,9286,95,1,0,0,3.6
Game,106.49,1000000,0.0,Adults only 18+,1313,233,8,1,1,3.9
Business,28.41,50000,0.99,Everyone 10+,9988,548,6,1,0,3.7
Game,74.44,1000,4.99,Adults only 18+,2566,513,4,0,0,3.9
News & Magazines,144.7,100,0.0,Mature 17+,14778,150,3,1,1,4.1
Lifestyle,35.66,50000000,0.0,Everyone,3916,471,6,1,1,4.3
Parenting,118.46,50000000,0.0,Mature 17+,1955,215,2,0,1,4.6
House & Home,139.36,5000,2.99,Mature 17+,1026,399,7,1,0,4.2
Sports,69.43,5000,0.0,Mature 17+,8099,558,8,0,1,4.4
Communication,139.08,500000,9.99,Adults only 18+,2672,577,6,1,0,3.6
Weather,176.96,5000000,4.99,Everyone 10+,23183,6,2,0,0,4.3
Events,94.95,5000000,0.0,Mature 17+,36,81,8,1,1,4.3
Entertainment,77.2,100000,0.0,Adults only 18+,22267,189,7,0,1,4.6
Education,50.98,5000000,0.0,Everyone 10+,8835,663,4,1,1,4.2
Health & Fitness,121.24,100000,1.99,Everyone,30635,660,4,1,0,4.5
Food & Drink,176.09,100000,0.99,Mature 17+,2747,28,5,0,0,4.4
Productivity,65.61,50000000,1.99,Teen,1295,677,6,1,0,4.3
Auto & Vehicles,79.85,500,0.0,Adults only 18+,11769,135,7,0,1,4.5
Communication,81.92,1000000,0.0,Everyone,14720,305,3,1,1,4.1
News & Magazines,112.6,50000,0.0,Everyone,5594,495,2,1,1,4.4
Maps & Navigation,46.45,500,0.0,Everyone,165,724,6,0,1,4.1
Beauty,164.62,100,1.99,Adults only 18+,6270,280,2,1,0,4.0
Events,59.82,10000000,0.0,Everyone 10+,3196,80,7,0,1,4.8
Photography,141.37,100,4.99,Teen,5123,391,4,0,0,3.9
Medical,103.13,100,0.99,Everyone 10+,8481,15,8,0,0,4.6
Books & Reference,117.59,5000,9.99,Mature 17+,14542,599,7,0,0,4.1
Shopping,36.74,5000,2.99,Teen,39635,223,4,0,0,4.1
Weather,147.27,50000000,0.0,Everyone 10+,1866,603,1,1,1,3.7
Game,38.54,1000000,2.99,Mature 17+,13669,266,1,1,0,3.5
Beauty,23.58,50000000,9.99,Teen,3187,320,7,1,0,4.4
Education,109.79,50000000,0.0,Adults only 18+,2992,106,4,0,1,4.5
Dating,142.15,100,0.0,Mature 17+,12047,253,1,0,1,3.8
Game,10.96,1000,0.0,Everyone 10+,17953,199,4,1,1,3.8
Comics,14.81,1000,0.0,Teen,45685,56,6,0,1,4.1
Books & Reference,160.73,500000,0.0,Mature 17+,17575,407,4,0,1,4.6
Food & Drink,162.0,500,1.99,Mature 17+,2054,438,5,1,0,4.4
Auto & Vehicles,49.82,50000,0.0,Adults only 18+,3065,457,1,0,1,3.7
Business,123.43,10000000,0.0,Mature 17+,17195,477,3,0,1,4.5
Social,89.19,5000,0.99,Teen,8984,347,3,1,0,3.5
Weather,126.91,5000000,0.0,Everyone,4202,486,6,0,1,4.6
News & Magazines,172.71,50000,0.0,Teen,7659,363,5,0,1,4.7
Dating,16.89,10000,1.99,Teen,29565,212,7,0,0,4.4
Dating,155.82,50000000,0.99,Adults only 18+,16907,701,3,1,0,3.7
Beauty,99.11,1000000,9.99,Adults only 18+,7189,614,3,0,0,4.0
Beauty,113.26,1000000,0.0,Mature 17+,47281,437,6,1,1,4.2
Parenting,131.13,100,9.99,Adults only 18+,19010,143,6,0,0,4.4
Comics,184.6,1000,1.99,Mature 17+,71,285,5,0,0,3.8
Auto & Vehicles,12.29,100,0.0,Everyone,1430,70,2,1,1,4.2
Personalization,6.87,50000,0.0,Everyone 10+,9688,577,5,1,1,4.2
Auto & Vehicles,36.47,50000000,0.0,Adults only 18+,5169,710,5,0,1,4.4
Lifestyle,197.3,1000,0.0,Adults only 18+,20091,528,1,1,1,4.0
Personalization,143.3,100,9.99,Everyone,27124,310,3,1,0,3.9
Travel & Local,123.31,50000,2.99,Adults only 18+,3304,263,8,1,0,3.7
Dating,10.36,10000,2.99,Everyone,17291,60,7,0,0,4.0
Parenting,175.94,50000000,0.0,Mature 17+,9199,522,3,0,1,4.8
Business,162.74,50000000,0.99,Adults only 18+,5970,309,2,0,0,4.4
Food & Drink,133.3,500000,2.99,Adults only 18+,18545,520,7,0,0,4.8
Tools,68.49,500,0.0,Mature 17+,9987,382,5,1,1,3.9
Video Players,15.03,500000,0.0,Adults only 18+,12104,341,4,1,1,4.3
Libraries & Demo,116.43,50000000,0.0,Teen,771,602,2,0,1,4.1
Travel & Local,144.22,10000,0.0,Everyone,10579,549,8,1,1,3.9
Libraries & Demo,19.75,500000,0.0,Everyone 10+,4292,84,2,1,1,3.8
Finance,127.12,50000000,9.99,Teen,8158,234,3,1,0,4.0
Lifestyle,57.99,5000000,1.99,Everyone 10+,3013,240,3,1,0,4.4
Libraries & Demo,153.08,5000,0.0,Teen,11438,104,3,0,1,4.2
Finance,108.38,5000,4.99,Teen,1915,723,3,1,0,3.7
Dating,26.68,5000000,0.0,Teen,1574,225,2,1,1,4.0
Music & Audio,105.78,5000,0.0,Everyone,2505,279,6,1,1,4.2
Beauty,79.75,10000000,4.99,Everyone 10+,20410,393,5,1,0,4.2
Libraries & Demo,36.89,50000,0.0,Mature 17+,409,678,6,0,1,4.0
Travel & Local,168.46,5000,0.0,Mature 17+,15693,429,6,0,1,4.4
Personalization,3.19,1000000,0.0,Adults only 18+,698,402,3,0,1,4.7
Sports,63.11,1000000,0.0,Everyone,10754,46,1,0,1,4.3
Business,3.51,1000,0.0,Everyone,17823,514,8,0,1,3.9
Music & Audio,20.11,100000,1.99,Everyone,3153,176,2,1,0,3.9
Art & Design,60.12,50000000,0.0,Teen,2617,630,8,1,1,4.3
Travel & Local,11.8,10000,4.99,Everyone,4096,366,7,1,0,3.6
News & Magazines,119.73,50000000,0.0,Mature 17+,14432,173,7,0,1,4.7
Music & Audio,18.29,1000000,0.0,Everyone,3530,304,4,0,1,4.6
Comics,140.64,500,0.0,Teen,8360,152,4,1,1,3.8
Parenting,11.48,1000,0.0,Everyone 10+,1733,351,5,0,1,4.1
Maps & Navigation,12.8,5000000,0.0,Everyone,7421,705,2,1,1,4.3
Dating,61.76,10000,0.0,Everyone 10+,11761,92,2,1,1,4.0
Weather,179.42,50000000,0.99,Adults only 18+,894,161,2,0,0,4.3
Game,128.64,10000,0.0,Teen,20276,106,6,1,1,4.1
Libraries & Demo,154.26,5000000,0.0,Everyone,33259,103,1,1,1,4.4
Finance,29.17,50000000,0.0,Adults only 18+,2581,132,7,1,1,4.9
Health & Fitness,166.99,100000,0.99,Adults only 18+,17097,289,8,0,0,4.7
Game,2.62,500000,2.99,Everyone 10+,4513,458,7,0,0,3.6
Personalization,43.4,500000,0.99,Mature 17+,13551,101,1,0,0,4.4
Auto & Vehicles,123.6,100,0.0,Mature 17+,4395,21,6,1,1,4.6
News & Magazines,75.67,100,9.99,Mature 17+,23796,249,3,0,0,4.2
Auto & Vehicles,196.85,1000,0.0,Mature 17+,5116,192,6,1,1,3.6
Social,7.04,100,0.0,Teen,22672,585,4,1,1,3.6
Education,199.72,100,0.0,Everyone,17437,313,7,0,1,4.4
Art & Design,125.1,5000000,0.0,Everyone,2623,168,6,0,1,4.3
Events,112.18,500000,0.0,Teen,2049,574,1,1,1,4.4
Beauty,12.84,100,0.0,Everyone 10+,18151,171,4,0,1,4.1
Personalization,55.39,1000000,1.99,Everyone,5938,633,6,0,0,4.2
Shopping,185.01,500,0.0,Adults only 18+,35804,216,2,1,1,4.1
Books & Reference,71.49,1000000,0.99,Everyone,34366,509,1,0,0,4.7
Maps & Navigation,132.67,100000,0.0,Teen,14190,174,4,1,1,4.3
Comics,199.9,1000000,0.0,Everyone 10+,8332,536,1,0,1,4.5
Parenting,53.35,1000,0.0,Everyone,2602,408,8,0,1,4.2
House & Home,115.64,100,0.0,Teen,25685,501,2,1,1,3.9
Parenting,139.59,100,0.0,Adults only 18+,1027,138,2,1,1,3.8
Finance,33.76,10000000,0.0,Mature 17+,5551,99,8,1,1,4.1
Maps & Navigation,30.59,5000000,0.0,Adults only 18+,4614,57,2,1,1,4.6
Travel & Local,91.81,50000,1.99,Adults only 18+,38164,247,3,0,0,4.5
Photography,77.78,100000,2.99,Everyone 10+,1508,684,6,0,0,4.1
Travel & Local,143.13,1000000,0.0,Everyone,26504,713,4,0,1,4.2
Health & Fitness,14.83,50000,1.99,Mature 17+,7315,107,7,1,0,4.1
Comics,194.46,10000,0.0,Teen,584,48,8,0,1,4.2
Beauty,3.84,500,0.0,Mature 17+,15662,286,3,1,1,4.1
Libraries & Demo,120.66,500,9.99,Everyone,1276,46,7,1,0,4.1
Communication,112.96,500000,0.0,Everyone 10+,3246,396,5,1,1,4.3
Health & Fitness,27.81,100,2.99,Everyone,19297,120,5,0,0,4.2
Education,31.03,500000,2.99,Teen,2017,60,7,0,0,4.4
House & Home,158.74,10000000,0.0,Mature 17+,4725,147,7,1,1,4.4
News & Magazines,177.62,5000000,0.0,Adults only 18+,5374,616,7,1,1,4.1
Auto & Vehicles,57.32,10000000,0.99,Everyone,10664,580,1,1,0,4.2
Social,88.15,100000,0.0,Everyone 10+,18724,497,1,0,1,3.7
Auto & Vehicles,71.64,100000,0.99,Everyone 10+,3149,674,1,1,0,4.0
Maps & Navigation,15.44,10000,0.0,Mature 17+,2765,727,7,1,1,4.0
Health & Fitness,134.97,1000,0.0,Adults only 18+,3011,118,3,1,1,4.1
Music & Audio,165.21,100000,0.0,Teen,5768,237,8,0,1,4.5
Maps & Navigation,61.67,100000,0.0,Adults only 18+,9191,218,6,0,1,4.6
Entertainment,198.04,100000,0.0,Mature 17+,162,124,2,1,1,3.4
Productivity,16.09,50000000,0.0,Adults only 18+,18186,629,1,1,1,4.7
Auto & Vehicles,132.7,10000000,0.0,Mature 17+,31361,263,1,1,1,4.3
Productivity,90.2,500,9.99,Adults only 18+,22258,170,6,0,0,4.4
Game,89.87,1000,0.0,Everyone,455,708,5,0,1,3.9
Video Players,92.07,1000,9.99,Everyone 10+,8921,392,7,1,0,4.1
Health & Fitness,52.48,5000,0.0,Mature 17+,20186,150,2,0,1,4.4
Art & Design,143.4,50000000,0.99,Mature 17+,5061,246,3,1,0,4.2
Libraries & Demo,144.59,1000000,0.0,Everyone 10+,27281,501,6,0,1,4.4
Beauty,57.2,5000000,0.0,Teen,26152,191,2,1,1,4.5
Comics,167.23,100,0.0,Mature 17+,1834,174,5,0,1,4.5
Productivity,64.05,50000000,0.0,Everyone,8166,593,3,1,1,4.2
Food & Drink,145.29,100000,0.0,Adults only 18+,312,172,7,1,1,3.9
Dating,25.08,100000,4.99,Everyone,3973,676,4,1,0,3.8
News & Magazines,34.57,10000000,0.0,Mature 17+,20048,623,7,0,1,4.3
Books & Reference,63.84,5000,0.0,Teen,44334,719,7,1,1,3.9
Productivity,119.18,10000000,9.99,Mature 17+,29347,338,1,1,0,4.0
House & Home,129.46,100,0.0,Teen,522,411,8,1,1,3.5
Books & Reference,79.87,1000,1.99,Everyone 10+,31363,70,3,1,0,3.8
Finance,16.49,10000,0.0,Adults only 18+,20755,98,5,0,1,4.9
Weather,75.35,50000000,0.0,Everyone,24272,517,2,0,1,4.7
Weather,138.06,500,0.0,Teen,29557,185,3,1,1,4.1
Sports,134.53,100000,0.0,Everyone,8037,716,5,0,1,3.9
Food & Drink,32.88,5000000,0.99,Everyone 10+,2847,413,6,1,0,3.7
Video Players,2.55,5000000,4.99,Mature 17+,255,378,7,0,0,4.2
Health & Fitness,150.84,100000,0.0,Teen,286,12,3,1,1,4.4
Music & Audio,22.17,50000000,4.99,Adults only 18+,12344,409,1,1,0,4.2
Maps & Navigation,17.39,5000000,0.0,Teen,4937,418,6,1,1,4.6
Tools,1.54,10000,9.99,Mature 17+,8220,331,2,1,0,3.9
Comics,87.09,50000000,1.99,Mature 17+,1690,280,6,1,0,4.2
Weather,101.15,5000000,2.99,Adults only 18+,44516,115,2,1,0,4.5
Tools,127.9,50000,0.0,Adults only 18+,1670,210,3,0,1,3.9
Auto & Vehicles,59.92,100,9.99,Everyone 10+,7061,447,6,0,0,4.1
Personalization,142.37,5000,1.99,Everyone,7030,394,5,0,0,4.2
Medical,34.7,5000,0.0,Teen,104,645,1,1,1,3.8
Video Players,166.57,10000000,9.99,Everyone 10+,13224,181,7,0,0,4.8
Business,114.8,500000,0.0,Everyone,9272,465,1,1,1,4.3
Medical,117.19,500,0.0,Everyone 10+,8258,28,8,0,1,4.2
Entertainment,42.75,100,0.0,Adults only 18+,20451,193,3,1,1,4.0
Productivity,15.75,100000,0.0,Adults only 18+,3311,256,4,0,1,4.2
Auto & Vehicles,93.48,50000,9.99,Mature 17+,23688,623,6,1,0,4.0
Events,123.51,10000,0.0,Teen,24010,424,8,0,1,4.1
Video Players,19.91,50000000,0.0,Teen,21044,706,3,1,1,4.0
House & Home,190.16,500000,1.99,Teen,5012,636,6,0,0,4.1
Education,196.1,10000000,0.0,Everyone 10+,2129,91,1,1,1,4.4
Personalization,109.55,500,9.99,Everyone 10+,7736,648,7,0,0,3.8
Medical,190.06,500,2.99,Teen,3611,145,6,0,0,4.1
Education,36.71,1000000,1.99,Mature 17+,643,452,7,0,0,4.0
News & Magazines,6.06,100,4.99,Everyone,3933,428,2,0,0,4.1
Education,8.84,50000,0.0,Everyone 10+,7599,242,3,0,1,4.5
Sports,117.91,1000,1.99,Teen,1435,486,7,0,0,3.9
Communication,13.27,10000,0.0,Adults only 18+,34661,31,7,1,1,4.7
Libraries & Demo,191.75,500000,0.0,Everyone 10+,12809,60,3,0,1,3.8
Libraries & Demo,29.24,100000,0.0,Everyone,1759,601,8,1,1,4.3
Game,61.64,50000000,0.0,Everyone 10+,20060,476,2,0,1,4.7
Books & Reference,164.68,5000,0.0,Everyone,31588,101,6,1,1,3.8
Books & Reference,44.53,500000,9.99,Everyone,3658,633,7,0,0,3.7
Lifestyle,49.35,10000000,1.99,Everyone 10+,1855,589,3,1,0,3.6
Tools,128.82,10000000,0.0,Everyone,4672,273,5,1,1,4.0
Communication,55.94,5000000,0.99,Everyone 10+,21423,478,2,1,0,4.4
Social,44.27,10000000,0.0,Everyone 10+,2310,58,8,0,1,4.4
Sports,51.58,500,2.99,Mature 17+,18134,505,2,0,0,4.6
Parenting,98.64,100000,1.99,Adults only 18+,15117,387,6,0,0,4.2
Health & Fitness,193.25,10000,0.0,Everyone,12645,461,2,1,1,4.1
Communication,166.62,10000000,0.99,Everyone 10+,6815,608,1,0,0,4.5
Parenting,57.64,50000,0.0,Everyone,5483,45,8,1,1,3.7
Business,73.31,1000,0.0,Everyone 10+,1069,291,3,0,1,4.1
Auto & Vehicles,93.44,10000000,9.99,Everyone 10+,5306,258,4,1,0,4.4
Social,195.81,5000000,1.99,Everyone 10+,11051,246,3,0,0,4.4
News & Magazines,35.31,100000,0.0,Adults only 18+,27418,240,3,0,1,4.7
House & Home,72.14,100000,0.99,Everyone,21486,413,8,0,0,4.4
News & Magazines,146.16,500,4.99,Adults only 18+,393,128,1,1,0,4.1
Entertainment,192.82,100,9.99,Adults only 18+,1794,714,5,1,0,4.0
Personalization,31.98,5000000,0.0,Adults only 18+,22645,276,7,0,1,4.8
Business,46.25,500,9.99,Adults only 18+,33625,418,5,0,0,3.9
Art & Design,45.91,50000000,2.99,Mature 17+,689,207,1,1,0,4.1
Food & Drink,5.17,500000,1.99,Everyone,14498,552,1,1,0,4.3
News & Magazines,121.22,10000000,1.99,Everyone,5463,365,1,0,0,4.2
Shopping,134.47,5000000,0.99,Everyone 10+,5436,346,3,0,0,4.4
News & Magazines,120.9,1000,0.99,Everyone,12349,568,1,0,0,4.0
Maps & Navigation,15.19,10000000,0.99,Adults only 18+,19942,160,4,1,0,4.2
Weather,14.78,5000,0.0,Teen,3856,96,8,1,1,4.4
Lifestyle,42.87,500000,0.0,Everyone,14664,425,7,0,1,4.1
Events,58.77,1000,4.99,Teen,12123,116,2,1,0,4.1
News & Magazines,157.52,50000,0.0,Mature 17+,8741,212,5,0,1,4.2
Shopping,32.72,500,0.99,Everyone 10+,11068,599,8,0,0,4.3
Books & Reference,9.77,1000,0.99,Everyone 10+,219,307,6,1,0,3.6
Maps & Navigation,79.4,100,0.0,Everyone 10+,49,268,8,0,1,4.5
Tools,83.86,1000000,0.0,Mature 17+,9594,44,4,0,1,4.3
Tools,90.73,5000,4.99,Adults only 18+,8911,595,6,0,0,4.3
News & Magazines,165.55,50000,9.99,Teen,888,458,5,1,0,3.8
Food & Drink,20.5,100000,0.0,Everyone,8128,723,7,0,1,4.4
Lifestyle,141.08,500,0.0,Adults only 18+,17002,472,3,1,1,4.2
Education,68.25,500000,1.99,Everyone 10+,9350,9,3,1,0,4.4
Art & Design,62.69,50000000,1.99,Everyone 10+,8748,669,1,0,0,4.2
Auto & Vehicles,186.58,1000000,0.99,Adults only 18+,15186,189,5,1,0,4.2
Tools,50.45,5000000,9.99,Teen,2263,381,8,0,0,3.9
Game,128.86,10000000,0.0,Adults only 18+,7338,643,3,1,1,4.2
Entertainment,55.75,500,4.99,Mature 17+,1923,727,3,1,0,3.7
News & Magazines,101.92,10000,0.0,Everyone 10+,8904,115,8,0,1,4.4
Sports,157.47,500,9.99,Teen,10756,502,8,0,0,4.1
Events,176.46,10000000,0.0,Everyone,1557,635,6,1,1,4.0
Dating,167.9,10000,0.0,Everyone 10+,942,388,6,1,1,3.3
Parenting,116.85,100000,0.0,Adults only 18+,2189,439,5,0,1,4.1
Dating,50.51,50000,0.0,Teen,10592,319,3,0,1,4.2
House & Home,132.59,5000,9.99,Everyone 10+,2523,704,8,1,0,3.7
Lifestyle,142.27,500,0.0,Everyone,3863,444,7,1,1,4.0
Personalization,3.13,100000,0.0,Everyone,14550,660,1,0,1,4.4
Photography,88.4,50000000,0.0,Adults only 18+,3426,28,3,0,1,4.4
Medical,168.81,5000000,0.0,Mature 17+,6081,636,8,1,1,4.0
Business,98.43,1000000,0.0,Adults only 18+,31715,398,4,0,1,4.5
Weather,62.96,100,0.99,Teen,20915,77,4,1,0,4.2
Art & Design,174.49,1000,0.0,Adults only 18+,3540,587,1,0,1,4.4
Personalization,32.02,100000,0.0,Teen,10923,358,4,1,1,4.1
Dating,42.08,1000000,0.99,Mature 17+,13152,186,6,0,0,4.3
Food & Drink,137.79,10000,0.0,Adults only 18+,27660,551,8,1,1,4.5
Dating,71.13,100000,0.0,Everyone,9515,234,3,1,1,3.8
Personalization,142.89,5000000,2.99,Teen,9887,248,4,0,0,4.5
Art & Design,32.38,100000,1.99,Teen,26319,399,4,1,0,4.3
Photography,51.2,5000,0.0,Everyone,671,329,3,0,1,4.3
